high_freq_ngram,low_freq_ngram,frequency_ratio,log_ratio,category,jsd_layer_0,jsd_layer_1,jsd_layer_2,jsd_layer_3,jsd_layer_4,jsd_layer_5
like,fancy,103.61,2.015,emotional,0.5035502461218777,0.48768957492531917,0.47920360131303547,0.3964050024367141,0.43821319549654314,0.41114896952672897
invent,contrive,301.94,2.48,creation,0.46627683438050227,0.4535737453314097,0.4400850660071545,0.4178418640531699,0.3165596015861937,0.3597298113081598
talk,converse,66.7,1.824,communication,0.41222039146861733,0.3459809048477387,0.3662797916973398,0.30277247039496585,0.29353280080399635,0.2967894429082916
wish,yearn,108.75,2.036,emotional,0.549690981487423,0.5296759522081487,0.46164537676250594,0.4243527770122394,0.44626384853211754,0.41547121799089665
chew,masticate,241.67,2.383,consumption,0.5777971411773137,0.5478852517218644,0.4845811043432426,0.4552333601444591,0.3573395539464828,0.3664015780538793
explain,elucidate,39.92,1.601,communication,0.4509043293183697,0.383996400948722,0.28530793455799475,0.2710515355817821,0.28958165389267493,0.23059106363749343
make,fabricate,947.44,2.977,creation,0.5460955755301864,0.5357355670816626,0.4177162857478437,0.412837429928324,0.3645809152584466,0.3617569593078767
drink,imbibe,364.93,2.562,consumption,0.5847228807344673,0.5809960875168166,0.5766281819746182,0.5664045804560228,0.487959280006794,0.4919133193172879
think,cogitate,18915.17,4.277,cognitive,0.5474187864007396,0.5083648952776088,0.4190085236485915,0.43161044770759616,0.38739653457103107,0.3506084007128876
tell,relate,10.18,1.008,communication,0.5084499085469212,0.4349130227661712,0.3877539081771817,0.33093953659641,0.3680202067897218,0.38340239805148896
fly,soar,22.57,1.354,movement,0.5634724914443716,0.5572355585469821,0.5244729425761099,0.524886865691169,0.4188683781937811,0.43372078884367293
form,mold,16.23,1.21,creation,0.5118484718850876,0.4725830181293845,0.4265822638625174,0.32998110303981393,0.3202237478025962,0.3746678672701946
spot,espy,2571.15,3.41,perception,0.518546519459347,0.5372717104204358,0.5208679234438284,0.47625778708766636,0.45548637286214294,0.41021333448126274
wonder,ponder,11.16,1.048,cognitive,0.3843660494071982,0.339987834021412,0.3286005703417131,0.27813456032738026,0.2799694424672964,0.3024610373435253
look,gaze,71.9,1.857,perception,0.4239896082771013,0.4277455717668317,0.3548372612188522,0.29840191402900157,0.29352623946820877,0.3457587103220551
wreck,devastate,20.8,1.318,destruction,0.5245921795115859,0.5272568044179824,0.45853339998739884,0.38898597702630977,0.31095763487130385,0.31087935459695004
say,utter,26.32,1.42,communication,0.45374856103903966,0.4111261873645303,0.3691096561875993,0.3567429978736309,0.3792368075097423,0.34795219249811915
want,desire,15.62,1.194,emotional,0.42362317485227197,0.42106425219242294,0.3240791998107636,0.24706671135416378,0.3125264452751749,0.2829653549562916
believe,surmise,370.12,2.568,cognitive,0.5229237626590492,0.563792786019844,0.499191683989438,0.48555706732941645,0.42697524946448123,0.4012520601422198
burn,incinerate,484.28,2.685,destruction,0.5080765872215234,0.5112822941096774,0.5140255210723654,0.4733447139773347,0.33431864231646263,0.34271052232265053
love,adore,84.28,1.926,emotional,0.534871279870774,0.5091416410594899,0.42692694611423954,0.385322738532097,0.322791900913726,0.3517913548665079
taste,savor,38.91,1.59,perception,0.5664026788063873,0.5176335393377509,0.44478698936485783,0.4528679569658871,0.3894528550651515,0.36252497455213983
walk,ambulate,2296.95,3.361,movement,0.5374736952300799,0.4796478902252573,0.5007663884044615,0.4531972243752882,0.3781413285678861,0.36808569538960956
break,shatter,26.89,1.43,destruction,0.49074611069381147,0.47848854324225276,0.4401388614611016,0.4008330876279511,0.3591580402779358,0.3099030354634631
guess,conjecture,34.82,1.542,cognitive,0.42377049298642183,0.46380693318555977,0.4178089681632263,0.34331300333236214,0.3205552222983824,0.3574118020323682
destroy,demolish,27.57,1.44,destruction,0.5234814402467002,0.5111840081107248,0.4053324187209058,0.38714866497605377,0.30406821096087255,0.28864055025912344
dance,cavort,252.26,2.402,movement,0.5184790491847413,0.49555824231647644,0.5043916065396672,0.4798108019010068,0.3845679897061655,0.41205843653232177
write,compose,24.83,1.395,creation,0.43547218702913154,0.35432940545414027,0.28958511222691774,0.24991211763122803,0.2618406550865604,0.2463942132202489
worry,fret,19.32,1.286,emotional,0.36087285799104585,0.3282309078125916,0.3600080277642521,0.29459678738411976,0.2920333871014342,0.3237249191622422
bite,gnaw,64.54,1.81,consumption,0.48463188169417637,0.4790512645120384,0.46148543149949817,0.4618997798293991,0.38239988873069436,0.3472291400828891
enjoy,relish,77.5,1.889,emotional,0.5077640184406798,0.520227216729787,0.44007007834411,0.45698079066899067,0.3316537087770004,0.30668963065118543
stare,gawk,16.25,1.211,perception,0.4383336618025566,0.5018228047050881,0.4915186549423938,0.4846215412986879,0.3557640272532564,0.381827671098231
understand,fathom,159.44,2.203,cognitive,0.41929213475191357,0.42053572626124947,0.41937299196954814,0.39365680168621353,0.35124862569187215,0.3182709555243587
run,sprint,42.2,1.625,movement,0.47482800053641594,0.3897912129437272,0.3830772935493917,0.342747309250319,0.3027415677053882,0.32313432975371764
realize,apprehend,73.33,1.865,cognitive,0.5999204530971516,0.574326068683885,0.53268756470328,0.4472857591359773,0.44114511263301665,0.33359560445615355
notice,discern,11.38,1.056,perception,0.4614673940571876,0.3981038495713261,0.3787023108118376,0.38279790441366107,0.35149026951492585,0.32052984321797034
forget,disremember,8018.47,3.904,cognitive,0.3694131605040797,0.3263432296141323,0.3581742239571054,0.35703760197034873,0.24304508763993618,0.2113864423235693
design,devise,129.79,2.113,creation,0.4542403456856488,0.44093783550091814,0.37449975562544635,0.3418861295345297,0.31632596379820754,0.32155802668937933
smash,pulverize,61.14,1.786,destruction,0.5298578994755195,0.5156167770760468,0.443700209942838,0.4042773620401618,0.2950966655965499,0.32593264538297634
stroll,saunter,12.64,1.102,movement,0.4987649855947901,0.49999675066381094,0.48404720324429096,0.46581243861363836,0.38328595686312683,0.371723986072226
speak,articulate,28.51,1.455,communication,0.493746293105509,0.4126897465841288,0.41999584423275205,0.3484591134518419,0.33232710629344053,0.27780439266403056
rush,hasten,23.69,1.375,movement,0.5491154503824052,0.574462281690705,0.47604530712580795,0.47542539380103904,0.4222144158032212,0.4009686217149898
shout,vociferate,4848.15,3.686,communication,0.5243840564973206,0.5119204699864048,0.49975743573130876,0.4431541499744086,0.367301384860255,0.37008619262108955
hate,loathe,41.44,1.617,emotional,0.4883357168091481,0.5211733903459471,0.48048219488864036,0.4066308347286788,0.3536790934317362,0.35176267206147777
ruin,ravage,43.42,1.638,destruction,0.5202741947942302,0.4767152810867243,0.43784089407373594,0.3723141614045608,0.24666597236431415,0.2296558378908318
see,perceive,106.58,2.028,perception,0.4371292159349077,0.39917702548455053,0.3102293819307701,0.2555869878923261,0.29250823557375644,0.3024740148339043
hope,aspire,62.98,1.799,emotional,0.4696058114479732,0.44925194384820866,0.4611414375418428,0.43405885885646633,0.4234425079000754,0.4159305982675717
listen,heed,23.65,1.374,perception,0.3736975298575123,0.36922524593199185,0.366804072868291,0.32904590322811583,0.27003678263631514,0.26620867338900306
remember,recollect,123.1,2.09,cognitive,0.4745192095261996,0.4493223450651228,0.36672668848056483,0.3528205310870708,0.3235283577702721,0.29217967162115044
